lon, lat, val
-8.7540000e+01, 3.0750000e+01, 0.0000000e+00
-8.7305020e+01, 3.0203615e+01, 0.0000000e+00
-8.7049492e+01, 2.9666539e+01, 0.0000000e+00
-8.6774375e+01, 2.9139236e+01, 0.0000000e+00
-8.6421519e+01, 2.8660830e+01, 0.0000000e+00
-8.5949188e+01, 2.8301356e+01, 0.0000000e+00
-8.5468161e+01, 2.7951550e+01, 0.0000000e+00
-8.5121959e+01, 2.7470453e+01, 0.0000000e+00
-8.4902088e+01, 2.6918794e+01, 0.0000000e+00
-8.4732767e+01, 2.6348772e+01, 0.0000000e+00
-8.4562239e+01, 2.5778974e+01, 0.0000000e+00
-8.4332197e+01, 2.5230888e+01, 0.0000000e+00
-8.3958530e+01, 2.4771705e+01, 0.0000000e+00
-8.3499332e+01, 2.4395325e+01, 0.0000000e+00
-8.2973781e+01, 2.4119860e+01, 0.0000000e+00
-8.2397041e+01, 2.3984216e+01, 0.0000000e+00
-8.1804994e+01, 2.3934303e+01, 0.0000000e+00
-8.1211699e+01, 2.3964114e+01, 0.0000000e+00
-8.0640346e+01, 2.4120916e+01, 0.0000000e+00
-8.0117019e+01, 2.4399170e+01, 0.0000000e+00
-7.9750445e+01, 2.4856084e+01, 0.0000000e+00
-7.9523244e+01, 2.5403015e+01, 0.0000000e+00
-7.9385904e+01, 2.5980732e+01, 0.0000000e+00
-7.9314431e+01, 2.6570643e+01, 0.0000000e+00
-7.9336361e+01, 2.7163515e+01, 0.0000000e+00
-7.9393303e+01, 2.7755511e+01, 0.0000000e+00
-7.9427552e+01, 2.8349108e+01, 0.0000000e+00
-7.9472782e+01, 2.8942049e+01, 0.0000000e+00
-7.9544603e+01, 2.9532342e+01, 0.0000000e+00
-7.9505042e+01, 3.0121111e+01, 0.0000000e+00
-7.9342219e+01, 3.0690892e+01, 0.0000000e+00
-7.9052424e+01, 3.1205433e+01, 0.0000000e+00
-7.8643875e+01, 3.1632056e+01, 0.0000000e+00
-7.8186176e+01, 3.2011597e+01, 0.0000000e+00
-7.7715715e+01, 3.2375418e+01, 0.0000000e+00
-7.7256146e+01, 3.2752593e+01, 0.0000000e+00
-7.6820789e+01, 3.3157409e+01, 0.0000000e+00
-7.6353535e+01, 3.3521718e+01, 0.0000000e+00
-7.5847382e+01, 3.3833461e+01, 0.0000000e+00
-7.5358828e+01, 3.4170554e+01, 0.0000000e+00
-7.4928773e+01, 3.4578215e+01, 0.0000000e+00
-7.4613057e+01, 3.5074609e+01, 0.0000000e+00
-7.4483378e+01, 3.5644755e+01, 0.0000000e+00
-7.4503538e+01, 3.6237012e+01, 0.0000000e+00
-7.4498239e+01, 3.6828784e+01, 0.0000000e+00
-7.4321762e+01, 3.7386451e+01, 0.0000000e+00
-7.3983215e+01, 3.7869656e+01, 0.0000000e+00
-7.3563864e+01, 3.8290110e+01, 0.0000000e+00
-7.3113240e+01, 3.8678036e+01, 0.0000000e+00
-7.2653257e+01, 3.9055086e+01, 0.0000000e+00
-7.2196488e+01, 3.9435977e+01, 0.0000000e+00
-7.1864973e+01, 3.9928636e+01, 0.0000000e+00
-7.1585967e+01, 4.0453292e+01, 0.0000000e+00
-7.1619069e+01, 4.1030270e+01, 0.0000000e+00
-7.1805000e+01, 4.1595000e+01, 0.0000000e+00
-8.8540000e+01, 2.2934303e+01, 0.0000000e+00
-8.6545107e+01, 2.2934303e+01, 0.0000000e+00
-8.4550215e+01, 2.2934303e+01, 0.0000000e+00
-8.2555322e+01, 2.2934303e+01, 0.0000000e+00
-8.0560430e+01, 2.2934303e+01, 0.0000000e+00
-7.8565537e+01, 2.2934303e+01, 0.0000000e+00
-7.6570645e+01, 2.2934303e+01, 0.0000000e+00
-7.4575752e+01, 2.2934303e+01, 0.0000000e+00
-7.2580860e+01, 2.2934303e+01, 0.0000000e+00
-7.0585967e+01, 2.2934303e+01, 0.0000000e+00
-7.0585967e+01, 2.2934303e+01, 0.0000000e+00
-7.0585967e+01, 2.4721639e+01, 0.0000000e+00
-7.0585967e+01, 2.6508975e+01, 0.0000000e+00
-7.0585967e+01, 2.8296311e+01, 0.0000000e+00
-7.0585967e+01, 3.0083647e+01, 0.0000000e+00
-7.0585967e+01, 3.1870983e+01, 0.0000000e+00
-7.0585967e+01, 3.3658320e+01, 0.0000000e+00
-7.0585967e+01, 3.5445656e+01, 0.0000000e+00
-7.0585967e+01, 3.7232992e+01, 0.0000000e+00
-7.0585967e+01, 3.9020328e+01, 0.0000000e+00
-7.0585967e+01, 4.0807664e+01, 0.0000000e+00
-7.0585967e+01, 4.2595000e+01, 0.0000000e+00
-7.0585967e+01, 4.2595000e+01, 0.0000000e+00
-7.2580860e+01, 4.2595000e+01, 0.0000000e+00
-7.4575752e+01, 4.2595000e+01, 0.0000000e+00
-7.6570645e+01, 4.2595000e+01, 0.0000000e+00
-7.8565537e+01, 4.2595000e+01, 0.0000000e+00
-8.0560430e+01, 4.2595000e+01, 0.0000000e+00
-8.2555322e+01, 4.2595000e+01, 0.0000000e+00
-8.4550215e+01, 4.2595000e+01, 0.0000000e+00
-8.6545107e+01, 4.2595000e+01, 0.0000000e+00
-8.8540000e+01, 4.2595000e+01, 0.0000000e+00
-8.8540000e+01, 4.2595000e+01, 0.0000000e+00
-8.8540000e+01, 4.0807664e+01, 0.0000000e+00
-8.8540000e+01, 3.9020328e+01, 0.0000000e+00
-8.8540000e+01, 3.7232992e+01, 0.0000000e+00
-8.8540000e+01, 3.5445656e+01, 0.0000000e+00
-8.8540000e+01, 3.3658320e+01, 0.0000000e+00
-8.8540000e+01, 3.1870983e+01, 0.0000000e+00
-8.8540000e+01, 3.0083647e+01, 0.0000000e+00
-8.8540000e+01, 2.8296311e+01, 0.0000000e+00
-8.8540000e+01, 2.6508975e+01, 0.0000000e+00
-8.8540000e+01, 2.4721639e+01, 0.0000000e+00
-8.8540000e+01, 2.2934303e+01, 0.0000000e+00
