,lon,lat,Node,Period_0,Period_1,Period_2,Period_3
8638901,-76.083333,37.033333,1667208,-0.33307834924969115,-0.306438950508929,-0.33298628366909055,-0.33369853627063156
8651370,-75.74667,36.18333,1592136,-0.3641671641923239,-0.30606583562234607,-0.2698259413350498,-0.2241072266254602
8656483,-76.671,34.72,1416194,-0.31447606097166175,-0.2824168086308583,-0.22675480151591135,-0.21992597418307533
8658163,-77.784973,34.21331,1405214,-0.39731509773311385,-0.3448360881592158,-0.3004557728389045,-0.26926971420315104
8661070,-78.916384,33.655,1350289,-0.2342167331696037,-0.17926048238036726,-0.1560188304536077,-0.11505694420466171
8665530,-79.922178,32.7817,1236589,-0.35384839390431283,-0.27123257283222774,-0.29512479867675395,-0.20203534070604498
8670870,-80.9017,32.034612,1165583,-0.2793266984727121,-0.200920805484029,-0.21956491785146318,-0.18295790714420454
8720030,-81.466768,30.6717,1152522,-0.26705985849037966,-0.17649664322750103,-0.19405368704924628,-0.15421375951910596
8720218,-81.43,30.3967,1212537,-0.1472300392571417,-0.05885474062379814,-0.07713348990084883,-0.0547371836187755
8721604,-80.59352700000001,28.41583,1251971,-0.33075157574770553,-0.29859303244408925,-0.31828902318963864,-0.2700916438450191
8722670,-80.03416999999999,26.612779999999997,1302999,-0.28142287886976963,-0.21418428320234376,-0.294266031324875,-0.2667002721836324
8723214,-80.159,25.731154999999998,1160390,-0.25250579882731855,-0.14048869465214975,-0.1793737479147631,-0.13480260034780966
8723970,-81.105,24.7138,843056,-0.24967891593250766,-0.14458812807140897,-0.17133971234758003,-0.1487910662145657
8724580,-81.817,24.549,805177,-0.25252507119765444,-0.16048344010216717,-0.22529125031841568,-0.1638072020941623
8725110,-81.8106,26.13167,677402,-0.2812303748554726,-0.14332947130966936,-0.1892845897235661,-0.1096676698968594
8726724,-82.833,27.9783,642196,-0.22422387461878357,-0.1324300909229134,-0.14613124585211038,-0.11243115015192967
8727520,-83.03089,29.1306,594808,-0.18836905540836935,-0.015286318338819436,0.006684018165662668,-0.06624350963429612
8729210,-85.88,30.211,549873,-0.260924848926456,-0.20330266140821376,-0.2612310016965576,-0.19024001907138455
8729840,-87.212,30.4015,506871,-0.3998772923641417,-0.3652114356711611,-0.3622424044399518,-0.45439867576929327
8735180,-88.0732,30.25,551721,-0.4351178488412648,-0.4026859739927053,-0.3954778646516728,-0.45686674371130787
